type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,
title,2,3,1,Course Registration Requirements,FALSE,,,,,,,,,,,,,,,,,
title,2,2,2,Version  2004,FALSE,,,,,,,,,,,,,,,,,
title,1,2,3,Problem Statement,FALSE,,,,,,,,,,,,,,,,,
normal,9,19,4,As the head of information systems for Wylie College you are tasked with developing a new student registration system.,FALSE,,,,,,,,,,,,,,,,,
normal,13,19,5,The college would like a new client-server system to replace its much older system developed around mainframe technology.,FALSE,,,,,,,,,,,,,,,,,
normal,14,22,6,The new system will allow students to register for courses and view report cards from personal computers attached to the campus LAN.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;view;card,student;register;course,,,,,,,,,,
normal,15,19,7,Professors will be able to access the system to sign up to teach courses as well as record grades.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,professors;access;system,professors;sign;teach course,professors;record;grade,,,,,,,,,
normal,11,18,8,"Due to a decrease in federal funding, the college cannot afford to replace the entire system at once.",FALSE,,,,,,,,,,,,,,,,,
normal,10,15,9,The college will keep the existing course catalog database where all course information is maintained.,FALSE,,,,,,,,,,,,,,,,,
normal,6,12,10,This database is an Ingres relational database running on a DEC VAX.,FALSE,,,,,,,,,,,,,,,,,
normal,12,20,11,Fortunately the college has invested in an open SQL interface that allows access to this database from college’s Unix servers.,FALSE,,,,,,,,,,,,,,,,,
normal,15,27,12,"The legacy system performance is rather poor, so the new system must ensure that access to the data on the legacy system occurs in a timely manner.",FALSE,,,,,,,,,,,,,,,,,
normal,10,16,13,The new system will access course information from the legacy database but will not update it.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,system;access;legacy database,system;access;course information,system;update;it;NEG-not,,,,,,,,,
normal,9,12,14,The registrar’s office will continue to maintain course information through another system.,FALSE,,,,,,,,,,,,,,,,,
normal,11,21,15,"At the beginning of each semester, students may request a course catalogue containing a list of course offerings for the semester.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;request;course catalogue,student;request;list,student;request;course offering,student;request;semester,,,,,,,,
normal,15,19,16,"Information about each course, such as professor, department, and prerequisites, will be included to help students make informed decisions.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,student;include;course,student;include;professor,student;include;department,student;include;prerequisite,,,,,,,,
normal,10,15,17,The new system will allow students to select four course offerings for the coming semester.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;select;course offering,student;select;semester,,,,,,,,,,
normal,15,20,18,"In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;indicate;alternative choice,,,,,,,,,,,
normal,9,15,19,Course offerings will have a maximum of ten students and a minimum of three students.,FALSE,,,,,,,,,,,,,,,,,
normal,8,11,20,A course offering with fewer than three students will be canceled.,FALSE,,,,,,,,,,,,,,,,,
normal,12,15,21,"For each semester, there is a period of time that students can change their schedule.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;change;schedule,,,,,,,,,,,
normal,13,16,22,Students must be able to access the system during this time to add or drop courses.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,student;access;system,student;add;course,student;drop;course,,,,,,,,,
normal,15,27,23,"Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,registration system;send;information,registration system;send;information,,,,,,,,,,
normal,13,24,24,"If a course fills up during the actual registration process, the student must be notified of the change before submitting the schedule for processing.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;notify;change,,,,,,,,,,,
normal,12,21,25,"At the end of the semester, the student will be able to access the system to view an electronic report card.",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,student;access;system,student;view;electronic report card,,,,,,,,,,
normal,12,17,26,"Since student grades are sensitive information, the system must employ extra security measures to prevent unauthorized access.",FALSE,,,,,,,,,,,,,,,,,
normal,15,18,27,Professors must be able to access the on-line system to indicate which courses they will be teaching.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,professors;access;on-line system,professors;indicate;teaching course,,,,,,,,,,
normal,12,14,28,They will also need to see which students signed up for their course offerings.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,they;see;student,they;see;course offering,,,,,,,,,,
normal,11,17,29,"In addition, the professors will be able to record the grades for the students in each class.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,professor;record;class,professor;record;student,professor;record;grade,,,,,,,,,
title,1,1,30,Introduction,FALSE,,,,,,,,,,,,,,,,,
title,1,1,31,Glossary,FALSE,,,,,,,,,,,,,,,,,
normal,19,30,32,"This document is used to define terminology specific to the problem domain, explaining terms, which may be unfamiliar to the reader of the use-case descriptions or other project documents.",FALSE,,,,,,,,,,,,,,,,,
normal,21,34,33,"Often, this document can be used as an informal data dictionary, capturing data definitions so that use-case descriptions and other project documents can focus on what the system must do with the information.",FALSE,,,,,,,,,,,,,,,,,
title,1,1,34,Definitions,FALSE,,,,,,,,,,,,,,,,,
normal,5,15,35,The glossary contains the working definitions for the key concepts in the Course Registration System.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,36,Course,FALSE,,,,,,,,,,,,,,,,,
normal,3,6,37,A class offered by the university.,FALSE,,,,,,,,,,,,,,,,,
title,1,2,38,Course Offering,FALSE,,,,,,,,,,,,,,,,,
normal,12,23,39,A specific delivery of the course for a specific semester – you could run the same course in parallel sessions in the semester.,FALSE,,,,,,,,,,,,,,,,,
normal,7,11,40,Includes the days of the week and times it is offered.,FALSE,,,,,,,,,,,,,,,,,
title,2,2,41,Course Catalog,FALSE,,,,,,,,,,,,,,,,,
normal,5,10,42,The unabridged catalog of all courses offered by the university.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,43,Faculty,FALSE,,,,,,,,,,,,,,,,,
normal,4,7,44,All the professors teaching at the university.,FALSE,,,,,,,,,,,,,,,,,
title,1,2,45,Finance System,FALSE,,,,,,,,,,,,,,,,,
normal,3,7,46,The system used for processing billing information.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,47,Grade,FALSE,,,,,,,,,,,,,,,,,
normal,5,11,48,The evaluation of a particular student for a particular course offering.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,49,Professor,FALSE,,,,,,,,,,,,,,,,,
normal,3,7,50,A person teaching classes at the university.,FALSE,,,,,,,,,,,,,,,,,
title,1,2,51,Report Card,FALSE,,,,,,,,,,,,,,,,,
normal,8,14,52,All the grades for all courses taken by a student in a given semester.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,53,Roster,FALSE,,,,,,,,,,,,,,,,,
normal,5,9,54,All the students enrolled in a particular course offering.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,55,Student,FALSE,,,,,,,,,,,,,,,,,
normal,4,8,56,A person enrolled in classes at the university.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,57,Schedule,FALSE,,,,,,,,,,,,,,,,,
normal,6,10,58,The courses a student has selected for the current semester.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,59,Transcript,FALSE,,,,,,,,,,,,,,,,,
normal,13,23,60,"The history of the grades for all courses, for a particular student sent to the finance system, which in turn bills the students.",FALSE,,,,,,,,,,,,,,,,,
title,1,1,61,Objectives,FALSE,,,,,,,,,,,,,,,,,
title,1,2,62,Supplementary Specification,FALSE,,,,,,,,,,,,,,,,,
normal,8,14,63,The purpose of this document is to define requirements of the Course Registration System.,FALSE,,,,,,,,,,,,,,,,,
normal,12,20,64,This Supplementary Specification lists the requirements that are not readily captured in the use cases of the use- case model.,FALSE,,,,,,,,,,,,,,,,,
normal,7,18,65,The Supplementary Specifications and the use-case model together capture a complete set of requirements on the system.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,66,Scope,FALSE,,,,,,,,,,,,,,,,,
normal,9,17,67,"This Supplementary Specification applies to the Course Registration System, which will be developed by the OOAD students.",FALSE,,,,,,,,,,,,,,,,,
normal,15,31,68,"This specification defines the non-functional requirements of the system; such as reliability, usability, performance, and supportability, as well as functional requirements that are common across a number of use cases.",FALSE,,,,,,,,,,,,,,,,,
normal,4,11,69,(The functional requirements are defined in the Use Case Specifications.),FALSE,,,,,,,,,,,,,,,,,
title,1,1,70,References,FALSE,,,,,,,,,,,,,,,,,
title,1,1,71,None.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,72,Functionality,FALSE,,,,,,,,,,,,,,,,,
normal,10,10,73,Multiple users must be able to perform their work concurrently.,FALSE,,,,,,,,,,,,,,,,,
normal,15,21,74,"If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;notify;course offering,student;build;course offering,,,,,,,,,,
title,1,1,75,Usability,FALSE,,,,,,,,,,,,,,,,,
normal,5,11,76,The desktop user-interface shall be Windows 95 or 98 compliant.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,77,Reliability,FALSE,,,,,,,,,,,,,,,,,
normal,16,20,78,"The system shall be available 24 hours a day 7 days a week, with no more than 10% down time.",FALSE,,,,,,,,,,,,,,,,,
title,1,1,79,Performance,FALSE,,,,,,,,,,,,,,,,,
normal,17,31,80,"The system shall support up to 2000 simultaneous users against the central database at any given time, and up to 500 simultaneous users against the local servers at any one time.",FALSE,,,,,,,,,,,,,,,,,
normal,12,19,81,The system shall provide access to the legacy course catalog database with no more than a 10 second latency.,FALSE,,,,,,,,,,,,,,,,,
normal,15,26,82,Note: Risk-based prototypes have found that the legacy course catalog database cannot meet our performance needs without some creative use of mid-tier processing power,FALSE,,,,,,,,,,,,,,,,,
normal,12,14,83,The system must be able to complete 80% of all transactions within 2 minutes.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,84,Supportability,FALSE,,,,,,,,,,,,,,,,,
title,1,1,85,None.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,86,Security,FALSE,,,,,,,,,,,,,,,,,
normal,16,23,87,"The system must prevent students from changing any schedules other than their own, and professors from modifying assigned course offerings for other professors.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;change;other schedule;NEG-prevent,professor;modify;course offering assign professor other,,,,,,,,,,
normal,6,7,88,Only Professors can enter grades for students.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,professors;enter;student,professors;enter;grade;ONLY-only,,,,,,,,,,
normal,8,10,89,Only the Registrar is allowed to change any student information.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,registrar;allow change;student information;ONLY-only,,,,,,,,,,,
title,1,2,90,Design Constraints,FALSE,,,,,,,,,,,,,,,,,
normal,12,18,91,"The system shall integrate with an existing legacy system, the Course Catalog System, which is an RDBMS database.",FALSE,,,,,,,,,,,,,,,,,
normal,4,9,92,The system shall provide a Windows-based desktop interface.,FALSE,,,,,,,,,,,,,,,,,
title,1,3,93,Use-Case Model,FALSE,,,,,,,,,,,,,,,,,
title,1,8,94,Course Registration System Use-Case Model Main Diagram,FALSE,,,,,,,,,,,,,,,,,
title,1,2,95,Close Registration,FALSE,,,,,,,,,,,,,,,,,
title,1,2,96,Brief Description,FALSE,,,,,,,,,,,,,,,,,
normal,7,11,97,This use case allows a Registrar to close the registration process.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,registrar;close;registration process,,,,,,,,,,,
normal,8,10,98,Course offerings that do not have enough students are cancelled.,FALSE,,,,,,,,,,,,,,,,,
normal,7,11,99,Course offerings must have a minimum of three students in them.,FALSE,,,,,,,,,,,,,,,,,
normal,17,26,100,"The billing system is notified for each student in each course offering that is not cancelled, so the student can be billed for the course offering.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,billing system;notify;course offering,billing system;notify;student,student;notify bill;course offering,,,,,,,,,
title,2,3,101,Flow of Events,FALSE,,,,,,,,,,,,,,,,,
title,1,2,102,Basic Flow,FALSE,,,,,,,,,,,,,,,,,
normal,7,13,103,This use case starts when the Registrar requests that the system close registration.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,registrar;when;system close registration,,,,,,,,,,,
normal,8,11,104,1) The system checks to see if registration is in progress.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;check;registration,,,,,,,,,,
normal,10,16,105,"If it is, then a message is displayed to the Registrar, and the use case terminates.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,registrar;display;message,,,,,,,,,,,
normal,9,12,106,The Close Registration processing cannot be performed if registration is in progress.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;perform;close registration processing,,,,,,,,,,,
normal,18,26,107,"2) For each course offering, the system checks if a professor has signed up to teach the course offering and at least three students have registered.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,student;register;course offering,professor;sign teach;course offering,,,,,,,,,,
normal,10,14,108,"If so, the system commits the course offering for each schedule that contains it.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;commit;schedule,system;commit;course offering,system;commit contain;it,,,,,,,,,
normal,22,34,109,"3) For each schedule, the system levels the schedule: if the schedule does not have the maximum number of primary courses selected, the system attempts to select alternates from the schedule’s list of alternates.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;level;schedule,system;have;schedule,system;select;alternate,system;select;list,system;select;schedule,,,,,,,
normal,6,9,110,The first available alternate course offerings will be selected.,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,;select;alternate course offering,,,,,,,,,,,
normal,11,11,111,"If no alternates are available, then no substitution will be made.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,;available;alternate,;make;substitution,,,,,,,,,,
normal,6,11,112,"4) For each course offering, the system closes all course offerings.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;close;course offering,system;close;course offering,,,,,,,,,,
normal,22,31,113,"If the course offerings do not have at least three students at this point (some may have been added as a result of leveling), then the system cancels the course offering.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,system;cancel have;student,system;cancel have;course offering,system;cancel;course offering,,,,,,,,,
normal,8,12,114,The system cancels the course offering for each schedule that contains it.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;cancel;course offering,system;cancel;schedule,system;cancel contain;it,,,,,,,,,
normal,12,23,115,5) The system calculates the tuition owed by each student for his current semester schedule and sends a transaction to the Billing System.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;calculate;tuition,system;calculate send;transaction,system;calculate send;billing system,system;calculate owe;semester schedule,system;calculate owe;student,,,,,,,
normal,11,19,116,"The Billing System will send the bill to the students, which will include a copy of their final schedule.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;include;final schedule,,,,,,,,,,,
title,1,2,117,Alternative Flows,FALSE,,,,,,,,,,,,,,,,,
title,3,6,118,No Professor for the Course Offering,FALSE,,,,,,,,,,,,,,,,,
normal,15,23,119,"If, in the Basic Flow, there is no professor signed up to teach the course offering, the system will cancel the course offering.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,system;cancel;course offering,professor;sign teach;course offering,,,,,,,,,,
normal,8,12,120,The system cancels the course offering for each schedule that contains it.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;cancel;course offering,system;cancel;schedule,system;contain;it,,,,,,,,,
title,2,3,121,Billing System Unavailable,FALSE,,,,,,,,,,,,,,,,,
normal,14,24,122,"If the system is unable to communicate with the Billing System, the system will attempt to re-send the request after a specified period.",FALSE,,,,,,,,,,,,,,,,,
normal,11,15,123,The system will continue to attempt to re-send until the Billing System becomes available.,FALSE,,,,,,,,,,,,,,,,,
title,1,2,124,Special Requirements,FALSE,,,,,,,,,,,,,,,,,
title,1,1,125,None.,FALSE,,,,,,,,,,,,,,,,,
title,1,2,126,Pre-Conditions,FALSE,,,,,,,,,,,,,,,,,
normal,10,16,127,The Registrar must be logged onto the system in order for this use case to begin.,FALSE,,,,,,,,,,,,,,,,,
title,1,2,128,Post-Conditions,FALSE,,,,,,,,,,,,,,,,,
normal,8,10,129,"If the use case was successful, registration is now closed.",FALSE,,,,,,,,,,,,,,,,,
normal,5,7,130,"If not, the system state remains unchanged.",FALSE,,,,,,,,,,,,,,,,,
title,1,2,131,Extension Points,FALSE,,,,,,,,,,,,,,,,,
title,1,1,132,None.,FALSE,,,,,,,,,,,,,,,,,
title,1,1,133,Login,FALSE,,,,,,,,,,,,,,,,,
title,1,2,134,Brief Description,FALSE,,,,,,,,,,,,,,,,,
normal,6,13,135,This use case describes how a user logs into the Course Registration System.,FALSE,,,,,,,,,,,,,,,,,
title,2,3,136,Flow of Events,FALSE,,,,,,,,,,,,,,,,,
title,1,2,137,Basic Flow,FALSE,,,,,,,,,,,,,,,,,
normal,9,15,138,This use case starts when the actor wishes to log into the Course Registration System.,FALSE,,,,,,,,,,,,,,,,,
normal,6,10,139,1) The actor enters his or her name and password.,FALSE,,,,,,,,,,,,,,,,,
normal,8,16,140,2) The system validates the entered name and password and logs the actor into the system.,FALSE,,,,,,,,,,,,,,,,,
title,1,2,141,Alternative Flows,FALSE,,,,,,,,,,,,,,,,,
title,3,4,142,Invalid Name or Password,FALSE,,,,,,,,,,,,,,,,,
normal,12,21,143,"If, in the Basic Flow, the actor enters an invalid name possibly and possibly password, the system displays an error message.",FALSE,,,,,,,,,,,,,,,,,
normal,13,25,144,"The actor can choose to either return to the beginning of the Basic Flow or cancel the login, at which point the use case ends.",FALSE,,,,,,,,,,,,,,,,,
